method	path	tree	basis	tags	operationId
PATCH	/api/v1/additional-privilege/identity	ee	source	Identity Specific Privileges	
DELETE	/api/v1/additional-privilege/identity	ee	source	Identity Specific Privileges	
GET	/api/v1/additional-privilege/identity	ee	source	Identity Specific Privileges	
POST	/api/v1/additional-privilege/identity/permanent	ee	source	Identity Specific Privileges	
POST	/api/v1/additional-privilege/identity/temporary	ee	source	Identity Specific Privileges	
GET	/api/v1/additional-privilege/identity/{privilegeSlug}	ee	source	Identity Specific Privileges	
POST	/api/v1/admin/bootstrap	core	source		
GET	/api/v1/app-connections	core	source	App Connections	listAppConnections
GET	/api/v1/app-connections/1password	core	source	App Connections	listOnePasswordAppConnections
POST	/api/v1/app-connections/1password	core	source	App Connections	createOnePasswordAppConnection
GET	/api/v1/app-connections/1password/available	core	source	App Connections	listOnePasswordAvailableAppConnections
GET	/api/v1/app-connections/1password/connection-name/{connectionName}	core	source	App Connections	getOnePasswordAppConnectionByName
GET	/api/v1/app-connections/1password/{connectionId}	core	source	App Connections	getOnePasswordAppConnection
PATCH	/api/v1/app-connections/1password/{connectionId}	core	source	App Connections	updateOnePasswordAppConnection
DELETE	/api/v1/app-connections/1password/{connectionId}	core	source	App Connections	deleteOnePasswordAppConnection
POST	/api/v1/app-connections/1password/{connectionId}/rotate-credentials	core	source	App Connections	rotateOnePasswordAppConnectionCredentials
GET	/api/v1/app-connections/adcs	core	source	App Connections	listAdcsAppConnections
POST	/api/v1/app-connections/adcs	core	source	App Connections	createAdcsAppConnection
GET	/api/v1/app-connections/adcs/available	core	source	App Connections	listAdcsAvailableAppConnections
GET	/api/v1/app-connections/adcs/connection-name/{connectionName}	core	source	App Connections	getAdcsAppConnectionByName
GET	/api/v1/app-connections/adcs/{connectionId}	core	source	App Connections	getAdcsAppConnection
PATCH	/api/v1/app-connections/adcs/{connectionId}	core	source	App Connections	updateAdcsAppConnection
DELETE	/api/v1/app-connections/adcs/{connectionId}	core	source	App Connections	deleteAdcsAppConnection
POST	/api/v1/app-connections/adcs/{connectionId}/rotate-credentials	core	source	App Connections	rotateAdcsAppConnectionCredentials
GET	/api/v1/app-connections/anthropic	core	source	App Connections	listAnthropicAppConnections
POST	/api/v1/app-connections/anthropic	core	source	App Connections	createAnthropicAppConnection
GET	/api/v1/app-connections/anthropic/available	core	source	App Connections	listAnthropicAvailableAppConnections
GET	/api/v1/app-connections/anthropic/connection-name/{connectionName}	core	source	App Connections	getAnthropicAppConnectionByName
GET	/api/v1/app-connections/anthropic/{connectionId}	core	source	App Connections	getAnthropicAppConnection
PATCH	/api/v1/app-connections/anthropic/{connectionId}	core	source	App Connections	updateAnthropicAppConnection
DELETE	/api/v1/app-connections/anthropic/{connectionId}	core	source	App Connections	deleteAnthropicAppConnection
POST	/api/v1/app-connections/anthropic/{connectionId}/rotate-credentials	core	source	App Connections	rotateAnthropicAppConnectionCredentials
GET	/api/v1/app-connections/auth0	core	source	App Connections	listAuth0AppConnections
POST	/api/v1/app-connections/auth0	core	source	App Connections	createAuth0AppConnection
GET	/api/v1/app-connections/auth0/available	core	source	App Connections	listAuth0AvailableAppConnections
GET	/api/v1/app-connections/auth0/connection-name/{connectionName}	core	source	App Connections	getAuth0AppConnectionByName
GET	/api/v1/app-connections/auth0/{connectionId}	core	source	App Connections	getAuth0AppConnection
PATCH	/api/v1/app-connections/auth0/{connectionId}	core	source	App Connections	updateAuth0AppConnection
DELETE	/api/v1/app-connections/auth0/{connectionId}	core	source	App Connections	deleteAuth0AppConnection
POST	/api/v1/app-connections/auth0/{connectionId}/rotate-credentials	core	source	App Connections	rotateAuth0AppConnectionCredentials
GET	/api/v1/app-connections/aws	core	source	App Connections	listAwsAppConnections
POST	/api/v1/app-connections/aws	core	source	App Connections	createAwsAppConnection
GET	/api/v1/app-connections/aws/available	core	source	App Connections	listAwsAvailableAppConnections
GET	/api/v1/app-connections/aws/connection-name/{connectionName}	core	source	App Connections	getAwsAppConnectionByName
GET	/api/v1/app-connections/aws/{connectionId}	core	source	App Connections	getAwsAppConnection
PATCH	/api/v1/app-connections/aws/{connectionId}	core	source	App Connections	updateAwsAppConnection
DELETE	/api/v1/app-connections/aws/{connectionId}	core	source	App Connections	deleteAwsAppConnection
POST	/api/v1/app-connections/aws/{connectionId}/rotate-credentials	core	source	App Connections	rotateAwsAppConnectionCredentials
GET	/api/v1/app-connections/azure-adcs	core	source	App Connections	listAzureAdcsAppConnections
POST	/api/v1/app-connections/azure-adcs	core	source	App Connections	createAzureAdcsAppConnection
GET	/api/v1/app-connections/azure-adcs/available	core	source	App Connections	listAzureAdcsAvailableAppConnections
GET	/api/v1/app-connections/azure-adcs/connection-name/{connectionName}	core	source	App Connections	getAzureAdcsAppConnectionByName
GET	/api/v1/app-connections/azure-adcs/{connectionId}	core	source	App Connections	getAzureAdcsAppConnection
PATCH	/api/v1/app-connections/azure-adcs/{connectionId}	core	source	App Connections	updateAzureAdcsAppConnection
DELETE	/api/v1/app-connections/azure-adcs/{connectionId}	core	source	App Connections	deleteAzureAdcsAppConnection
POST	/api/v1/app-connections/azure-adcs/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureAdcsAppConnectionCredentials
GET	/api/v1/app-connections/azure-app-configuration	core	source	App Connections	listAzureAppConfigurationAppConnections
POST	/api/v1/app-connections/azure-app-configuration	core	source	App Connections	createAzureAppConfigurationAppConnection
GET	/api/v1/app-connections/azure-app-configuration/available	core	source	App Connections	listAzureAppConfigurationAvailableAppConnections
GET	/api/v1/app-connections/azure-app-configuration/connection-name/{connectionName}	core	source	App Connections	getAzureAppConfigurationAppConnectionByName
GET	/api/v1/app-connections/azure-app-configuration/{connectionId}	core	source	App Connections	getAzureAppConfigurationAppConnection
PATCH	/api/v1/app-connections/azure-app-configuration/{connectionId}	core	source	App Connections	updateAzureAppConfigurationAppConnection
DELETE	/api/v1/app-connections/azure-app-configuration/{connectionId}	core	source	App Connections	deleteAzureAppConfigurationAppConnection
POST	/api/v1/app-connections/azure-app-configuration/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureAppConfigurationAppConnectionCredentials
GET	/api/v1/app-connections/azure-client-secrets	core	source	App Connections	listAzureClientSecretsAppConnections
POST	/api/v1/app-connections/azure-client-secrets	core	source	App Connections	createAzureClientSecretsAppConnection
GET	/api/v1/app-connections/azure-client-secrets/available	core	source	App Connections	listAzureClientSecretsAvailableAppConnections
GET	/api/v1/app-connections/azure-client-secrets/connection-name/{connectionName}	core	source	App Connections	getAzureClientSecretsAppConnectionByName
GET	/api/v1/app-connections/azure-client-secrets/{connectionId}	core	source	App Connections	getAzureClientSecretsAppConnection
PATCH	/api/v1/app-connections/azure-client-secrets/{connectionId}	core	source	App Connections	updateAzureClientSecretsAppConnection
DELETE	/api/v1/app-connections/azure-client-secrets/{connectionId}	core	source	App Connections	deleteAzureClientSecretsAppConnection
POST	/api/v1/app-connections/azure-client-secrets/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureClientSecretsAppConnectionCredentials
GET	/api/v1/app-connections/azure-devops	core	source	App Connections	listAzureDevopsAppConnections
POST	/api/v1/app-connections/azure-devops	core	source	App Connections	createAzureDevopsAppConnection
GET	/api/v1/app-connections/azure-devops/available	core	source	App Connections	listAzureDevopsAvailableAppConnections
GET	/api/v1/app-connections/azure-devops/connection-name/{connectionName}	core	source	App Connections	getAzureDevopsAppConnectionByName
GET	/api/v1/app-connections/azure-devops/{connectionId}	core	source	App Connections	getAzureDevopsAppConnection
PATCH	/api/v1/app-connections/azure-devops/{connectionId}	core	source	App Connections	updateAzureDevopsAppConnection
DELETE	/api/v1/app-connections/azure-devops/{connectionId}	core	source	App Connections	deleteAzureDevopsAppConnection
POST	/api/v1/app-connections/azure-devops/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureDevopsAppConnectionCredentials
GET	/api/v1/app-connections/azure-dns	core	source	App Connections	listAzureDnsAppConnections
POST	/api/v1/app-connections/azure-dns	core	source	App Connections	createAzureDnsAppConnection
GET	/api/v1/app-connections/azure-dns/available	core	source	App Connections	listAzureDnsAvailableAppConnections
GET	/api/v1/app-connections/azure-dns/connection-name/{connectionName}	core	source	App Connections	getAzureDnsAppConnectionByName
GET	/api/v1/app-connections/azure-dns/{connectionId}	core	source	App Connections	getAzureDnsAppConnection
PATCH	/api/v1/app-connections/azure-dns/{connectionId}	core	source	App Connections	updateAzureDnsAppConnection
DELETE	/api/v1/app-connections/azure-dns/{connectionId}	core	source	App Connections	deleteAzureDnsAppConnection
POST	/api/v1/app-connections/azure-dns/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureDnsAppConnectionCredentials
GET	/api/v1/app-connections/azure-entra-id	core	source	App Connections	listAzureEntraIdAppConnections
POST	/api/v1/app-connections/azure-entra-id	core	source	App Connections	createAzureEntraIdAppConnection
GET	/api/v1/app-connections/azure-entra-id/available	core	source	App Connections	listAzureEntraIdAvailableAppConnections
GET	/api/v1/app-connections/azure-entra-id/connection-name/{connectionName}	core	source	App Connections	getAzureEntraIdAppConnectionByName
GET	/api/v1/app-connections/azure-entra-id/{connectionId}	core	source	App Connections	getAzureEntraIdAppConnection
PATCH	/api/v1/app-connections/azure-entra-id/{connectionId}	core	source	App Connections	updateAzureEntraIdAppConnection
DELETE	/api/v1/app-connections/azure-entra-id/{connectionId}	core	source	App Connections	deleteAzureEntraIdAppConnection
POST	/api/v1/app-connections/azure-entra-id/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureEntraIdAppConnectionCredentials
GET	/api/v1/app-connections/azure-key-vault	core	source	App Connections	listAzureKeyVaultAppConnections
POST	/api/v1/app-connections/azure-key-vault	core	source	App Connections	createAzureKeyVaultAppConnection
GET	/api/v1/app-connections/azure-key-vault/available	core	source	App Connections	listAzureKeyVaultAvailableAppConnections
GET	/api/v1/app-connections/azure-key-vault/connection-name/{connectionName}	core	source	App Connections	getAzureKeyVaultAppConnectionByName
GET	/api/v1/app-connections/azure-key-vault/{connectionId}	core	source	App Connections	getAzureKeyVaultAppConnection
PATCH	/api/v1/app-connections/azure-key-vault/{connectionId}	core	source	App Connections	updateAzureKeyVaultAppConnection
DELETE	/api/v1/app-connections/azure-key-vault/{connectionId}	core	source	App Connections	deleteAzureKeyVaultAppConnection
POST	/api/v1/app-connections/azure-key-vault/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureKeyVaultAppConnectionCredentials
GET	/api/v1/app-connections/bitbucket	core	source	App Connections	listBitbucketAppConnections
